Sentence No.,Words,Class
1,"Pitch, melody, note, sound",Music
2,"Pitch, high, tone, singer",Music
3,"Pitch, throw, ball, strike",Sports
4,"Pitch, field, player, match",Sports
5,"Pitch, presentation, idea, product",Sales
6,"Pitch, offer, marketing, proposal",Sales
7,"Pitch, tune, sound, instrument",Music
8,"Pitch, bounce, cricket, ground",Sports
9,"Pitch, meeting, sell, concept",Sales
10,"Pitch, voice, sound, music",Music
11,"Pitch, fastball, game, swing",?
12,"Pitch, melody, tune, harmony",?
13,"Pitch, concept, promote, client",?
14,"Pitch, bowler, spin, match",?
15,"Pitch, presentation, plan, campaign",?
